Station,Year,Reizigers per dag,Klantoordeel,In- en uitstappers,Overstappers,Ochtendspits,Avondspits,Daluren,Lopend_voor,Lopend_na,Fiets_voor,Fiets_na,Bus/tram/metro_voor,Bus/tram/metro_na,Auto (bestuurder)_voor,Auto (bestuurder)_na,Auto (passagier)_voor,Auto (passagier)_na,(Deel)taxi_voor,(Deel)taxi_na
alphen-aan-den-rijn,2019,12630,72%,10996,1634,32%,13%,55%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
alphen-aan-den-rijn,2020,5900,0%,5124,776,27%,14%,59%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
alphen-aan-den-rijn,2021,6426,0%,5550,876,26%,14%,60%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
alphen-aan-den-rijn,2022,9029,0%,7786,1243,28%,13%,59%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
barendrecht,2019,6066,79%,6066,0,33%,12%,55%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
barendrecht,2020,2904,0%,2904,0,26%,14%,60%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
barendrecht,2021,3177,0%,3177,0,24%,14%,62%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
barendrecht,2022,4494,0%,4494,0,28%,13%,59%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
bodegraven,2019,3448,68%,3448,0,37%,10%,53%,36%,51%,42%,25%,1%,2%,16%,4%,5%,18%,0%,0%
bodegraven,2020,1650,0%,1650,0,32%,11%,57%,36%,51%,42%,25%,1%,2%,16%,4%,5%,18%,0%,0%
bodegraven,2021,1799,0%,1799,0,30%,12%,58%,36%,51%,42%,25%,1%,2%,16%,4%,5%,18%,0%,0%
bodegraven,2022,2603,0%,2603,0,32%,11%,57%,36%,51%,42%,25%,1%,2%,16%,4%,5%,18%,0%,0%
boskoop,2019,1432,78%,1432,0,33%,9%,58%,29%,54%,58%,27%,0%,7%,6%,3%,6%,9%,1%,0%
boskoop,2020,699,0%,699,0,29%,10%,61%,29%,54%,58%,27%,0%,7%,6%,3%,6%,9%,1%,0%
boskoop,2021,777,0%,777,0,27%,11%,62%,29%,54%,58%,27%,0%,7%,6%,3%,6%,9%,1%,0%
boskoop,2022,1074,0%,1074,0,29%,11%,60%,29%,54%,58%,27%,0%,7%,6%,3%,6%,9%,1%,0%
boskoop-snijdelwijk,2019,667,92%,667,0,35%,7%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
boskoop-snijdelwijk,2020,340,0%,340,0,31%,9%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
boskoop-snijdelwijk,2021,406,0%,406,0,30%,8%,62%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
boskoop-snijdelwijk,2022,563,0%,563,0,32%,8%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
capelle-schollevaar,2019,2466,52%,2466,0,32%,13%,55%,60%,72%,18%,16%,3%,3%,16%,3%,3%,6%,0%,0%
capelle-schollevaar,2020,1231,0%,1231,0,26%,14%,60%,60%,72%,18%,16%,3%,3%,16%,3%,3%,6%,0%,0%
capelle-schollevaar,2021,1263,0%,1263,0,24%,13%,63%,60%,72%,18%,16%,3%,3%,16%,3%,3%,6%,0%,0%
capelle-schollevaar,2022,1706,0%,1706,0,26%,14%,60%,60%,72%,18%,16%,3%,3%,16%,3%,3%,6%,0%,0%
de-vink,2019,3408,71%,3408,0,41%,6%,53%,46%,55%,41%,24%,1%,8%,9%,9%,3%,4%,0%,0%
de-vink,2020,1454,0%,1454,0,36%,7%,57%,46%,55%,41%,24%,1%,8%,9%,9%,3%,4%,0%,0%
de-vink,2021,1483,0%,1483,0,31%,8%,61%,46%,55%,41%,24%,1%,8%,9%,9%,3%,4%,0%,0%
de-vink,2022,2188,0%,2188,0,33%,8%,59%,46%,55%,41%,24%,1%,8%,9%,9%,3%,4%,0%,0%
delft,2019,40818,92%,40435,383,22%,19%,59%,27%,38%,53%,37%,17%,21%,1%,1%,2%,3%,0%,0%
delft,2020,17313,0%,17163,150,18%,18%,64%,27%,38%,53%,37%,17%,21%,1%,1%,2%,3%,0%,0%
delft,2021,20176,0%,20025,151,16%,18%,66%,27%,38%,53%,37%,17%,21%,1%,1%,2%,3%,0%,0%
delft,2022,31737,0%,31523,214,17%,18%,65%,27%,38%,53%,37%,17%,21%,1%,1%,2%,3%,0%,0%
delft-campus,2019,4719,47%,4719,0,24%,23%,53%,36%,55%,44%,34%,1%,1%,15%,4%,4%,6%,0%,0%
delft-campus,2020,2080,0%,2080,0,20%,23%,57%,36%,55%,44%,34%,1%,1%,15%,4%,4%,6%,0%,0%
delft-campus,2021,2036,0%,2036,0,20%,20%,60%,36%,55%,44%,34%,1%,1%,15%,4%,4%,6%,0%,0%
delft-campus,2022,3131,0%,3131,0,21%,22%,57%,36%,55%,44%,34%,1%,1%,15%,4%,4%,6%,0%,0%
den-haag-centraal,2019,104747,86%,98818,5929,14%,28%,58%,24%,59%,22%,7%,52%,33%,0%,0%,2%,1%,0%,0%
den-haag-centraal,2020,40868,0%,38255,2613,12%,25%,63%,24%,59%,22%,7%,52%,33%,0%,0%,2%,1%,0%,0%
den-haag-centraal,2021,40213,0%,37500,2713,12%,22%,66%,24%,59%,22%,7%,52%,33%,0%,0%,2%,1%,0%,0%
den-haag-centraal,2022,68972,0%,64912,4059,12%,24%,64%,24%,59%,22%,7%,52%,33%,0%,0%,2%,1%,0%,0%
den-haag-hs,2019,40894,74%,34892,6002,19%,18%,63%,29%,56%,31%,9%,38%,34%,0%,0%,2%,1%,0%,0%
den-haag-hs,2020,18530,0%,16094,2435,17%,17%,66%,29%,56%,31%,9%,38%,34%,0%,0%,2%,1%,0%,0%
den-haag-hs,2021,20287,0%,17804,2483,16%,17%,67%,29%,56%,31%,9%,38%,34%,0%,0%,2%,1%,0%,0%
den-haag-hs,2022,29974,0%,26198,3776,17%,17%,66%,29%,56%,31%,9%,38%,34%,0%,0%,2%,1%,0%,0%
den-haag-laan-van-noi,2019,18824,63%,17219,1605,25%,27%,48%,34%,60%,28%,7%,33%,31%,2%,0%,3%,2%,0%,0%
den-haag-laan-van-noi,2020,7391,0%,6746,645,22%,22%,56%,34%,60%,28%,7%,33%,31%,2%,0%,3%,2%,0%,0%
den-haag-laan-van-noi,2021,7075,0%,6411,664,23%,18%,59%,34%,60%,28%,7%,33%,31%,2%,0%,3%,2%,0%,0%
den-haag-laan-van-noi,2022,11608,0%,10677,931,24%,19%,57%,34%,60%,28%,7%,33%,31%,2%,0%,3%,2%,0%,0%
den-haag-mariahoeve,2019,3248,64%,3248,0,27%,24%,49%,35%,80%,35%,8%,6%,5%,15%,3%,9%,4%,0%,0%
den-haag-mariahoeve,2020,1203,0%,1203,0,27%,17%,56%,35%,80%,35%,8%,6%,5%,15%,3%,9%,4%,0%,0%
den-haag-mariahoeve,2021,1337,0%,1337,0,21%,17%,62%,35%,80%,35%,8%,6%,5%,15%,3%,9%,4%,0%,0%
den-haag-mariahoeve,2022,1935,0%,1935,0,23%,17%,60%,35%,80%,35%,8%,6%,5%,15%,3%,9%,4%,0%,0%
den-haag-moerwijk,2019,3203,53%,3203,0,34%,9%,57%,38%,36%,24%,19%,26%,40%,10%,2%,2%,3%,0%,0%
den-haag-moerwijk,2020,1722,0%,1722,0,28%,11%,61%,38%,36%,24%,19%,26%,40%,10%,2%,2%,3%,0%,0%
den-haag-moerwijk,2021,1908,0%,1908,0,25%,11%,64%,38%,36%,24%,19%,26%,40%,10%,2%,2%,3%,0%,0%
den-haag-moerwijk,2022,2434,0%,2434,0,28%,10%,62%,38%,36%,24%,19%,26%,40%,10%,2%,2%,3%,0%,0%
den-haag-ypenburg,2019,2654,64%,2654,0,30%,19%,51%,20%,39%,47%,17%,14%,25%,11%,3%,8%,16%,0%,0%
den-haag-ypenburg,2020,1038,0%,1038,0,25%,20%,55%,20%,39%,47%,17%,14%,25%,11%,3%,8%,16%,0%,0%
den-haag-ypenburg,2021,1040,0%,1040,0,20%,20%,60%,20%,39%,47%,17%,14%,25%,11%,3%,8%,16%,0%,0%
den-haag-ypenburg,2022,1582,0%,1582,0,25%,19%,56%,20%,39%,47%,17%,14%,25%,11%,3%,8%,16%,0%,0%
dordrecht,2019,27860,69%,24647,3213,31%,14%,55%,27%,53%,36%,13%,25%,24%,5%,2%,7%,8%,0%,0%
dordrecht,2020,13147,0%,11731,1416,27%,15%,58%,27%,53%,36%,13%,25%,24%,5%,2%,7%,8%,0%,0%
dordrecht,2021,13766,0%,12313,1453,25%,15%,60%,27%,53%,36%,13%,25%,24%,5%,2%,7%,8%,0%,0%
dordrecht,2022,18817,0%,16938,1879,27%,14%,59%,27%,53%,36%,13%,25%,24%,5%,2%,7%,8%,0%,0%
dordrecht-zuid,2019,1242,48%,1242,0,33%,12%,55%,50%,71%,35%,13%,4%,5%,9%,0%,2%,11%,0%,0%
dordrecht-zuid,2020,636,0%,636,0,25%,16%,59%,50%,71%,35%,13%,4%,5%,9%,0%,2%,11%,0%,0%
dordrecht-zuid,2021,684,0%,684,0,25%,15%,60%,50%,71%,35%,13%,4%,5%,9%,0%,2%,11%,0%,0%
dordrecht-zuid,2022,815,0%,815,0,28%,14%,58%,50%,71%,35%,13%,4%,5%,9%,0%,2%,11%,0%,0%
gouda,2019,35726,65%,25126,10600,29%,15%,56%,22%,62%,57%,20%,14%,10%,3%,1%,4%,7%,0%,0%
gouda,2020,16172,0%,11757,4415,24%,16%,60%,22%,62%,57%,20%,14%,10%,3%,1%,4%,7%,0%,0%
gouda,2021,16229,0%,12008,4221,22%,16%,62%,22%,62%,57%,20%,14%,10%,3%,1%,4%,7%,0%,0%
gouda,2022,24562,0%,17629,6933,24%,15%,61%,22%,62%,57%,20%,14%,10%,3%,1%,4%,7%,0%,0%
gouda-goverwelle,2019,3254,62%,3254,0,41%,6%,53%,34%,50%,49%,27%,1%,5%,11%,2%,5%,16%,0%,0%
gouda-goverwelle,2020,1508,0%,1508,0,35%,7%,58%,34%,50%,49%,27%,1%,5%,11%,2%,5%,16%,0%,0%
gouda-goverwelle,2021,1529,0%,1529,0,32%,9%,59%,34%,50%,49%,27%,1%,5%,11%,2%,5%,16%,0%,0%
gouda-goverwelle,2022,2183,0%,2183,0,36%,8%,56%,34%,50%,49%,27%,1%,5%,11%,2%,5%,16%,0%,0%
hillegom,2019,2555,69%,2555,0,39%,7%,54%,13%,27%,55%,32%,4%,10%,21%,7%,7%,24%,0%,0%
hillegom,2020,1149,0%,1149,0,33%,9%,58%,13%,27%,55%,32%,4%,10%,21%,7%,7%,24%,0%,0%
hillegom,2021,1300,0%,1300,0,29%,10%,61%,13%,27%,55%,32%,4%,10%,21%,7%,7%,24%,0%,0%
hillegom,2022,1790,0%,1790,0,33%,9%,58%,13%,27%,55%,32%,4%,10%,21%,7%,7%,24%,0%,0%
lansingerland-zoetermeer,2019,1465,89%,1465,0,34%,16%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lansingerland-zoetermeer,2020,1070,0%,1070,0,24%,22%,54%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lansingerland-zoetermeer,2021,1249,0%,1249,0,21%,22%,57%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lansingerland-zoetermeer,2022,2091,0%,2091,0,26%,19%,55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
leiden-centraal,2019,102305,87%,82689,19616,21%,21%,58%,22%,59%,53%,20%,21%,18%,1%,0%,3%,3%,0%,0%
leiden-centraal,2020,44102,0%,36267,7835,18%,21%,61%,22%,59%,53%,20%,21%,18%,1%,0%,3%,3%,0%,0%
leiden-centraal,2021,48046,0%,39870,8176,16%,21%,63%,22%,59%,53%,20%,21%,18%,1%,0%,3%,3%,0%,0%
leiden-centraal,2022,72162,0%,58924,13238,17%,21%,62%,22%,59%,53%,20%,21%,18%,1%,0%,3%,3%,0%,0%
leiden-lammenschans,2019,4836,61%,4836,0,27%,16%,57%,33%,51%,51%,27%,9%,15%,3%,1%,4%,6%,0%,0%
leiden-lammenschans,2020,2168,0%,2168,0,21%,18%,61%,33%,51%,51%,27%,9%,15%,3%,1%,4%,6%,0%,0%
leiden-lammenschans,2021,2544,0%,2544,0,18%,18%,64%,33%,51%,51%,27%,9%,15%,3%,1%,4%,6%,0%,0%
leiden-lammenschans,2022,3847,0%,3847,0,23%,17%,60%,33%,51%,51%,27%,9%,15%,3%,1%,4%,6%,0%,0%
nieuwerkerk-a-d-ijssel,2019,3709,47%,3709,0,40%,8%,52%,39%,58%,42%,14%,2%,3%,12%,6%,5%,19%,0%,0%
nieuwerkerk-a-d-ijssel,2020,1694,0%,1694,0,34%,10%,56%,39%,58%,42%,14%,2%,3%,12%,6%,5%,19%,0%,0%
nieuwerkerk-a-d-ijssel,2021,1751,0%,1751,0,31%,10%,59%,39%,58%,42%,14%,2%,3%,12%,6%,5%,19%,0%,0%
nieuwerkerk-a-d-ijssel,2022,2519,0%,2519,0,34%,9%,57%,39%,58%,42%,14%,2%,3%,12%,6%,5%,19%,0%,0%
rijswijk,2019,7060,52%,7060,0,27%,21%,52%,37%,69%,32%,9%,24%,18%,3%,1%,4%,3%,0%,0%
rijswijk,2020,3060,0%,3060,0,23%,19%,58%,37%,69%,32%,9%,24%,18%,3%,1%,4%,3%,0%,0%
rijswijk,2021,3237,0%,3237,0,21%,17%,62%,37%,69%,32%,9%,24%,18%,3%,1%,4%,3%,0%,0%
rijswijk,2022,4532,0%,4532,0,24%,17%,59%,37%,69%,32%,9%,24%,18%,3%,1%,4%,3%,0%,0%
rotterdam-alexander,2019,19419,42%,18917,502,19%,23%,58%,15%,42%,23%,6%,50%,44%,6%,1%,6%,7%,0%,0%
rotterdam-alexander,2020,7947,0%,7731,216,16%,21%,63%,15%,42%,23%,6%,50%,44%,6%,1%,6%,7%,0%,0%
rotterdam-alexander,2021,8125,0%,7922,203,14%,20%,66%,15%,42%,23%,6%,50%,44%,6%,1%,6%,7%,0%,0%
rotterdam-alexander,2022,12275,0%,11962,313,17%,21%,62%,15%,42%,23%,6%,50%,44%,6%,1%,6%,7%,0%,0%
rotterdam-blaak,2019,26237,70%,25882,355,16%,27%,57%,36%,52%,12%,5%,52%,42%,0%,0%,0%,1%,0%,0%
rotterdam-blaak,2020,11068,0%,10902,166,14%,25%,61%,36%,52%,12%,5%,52%,42%,0%,0%,0%,1%,0%,0%
rotterdam-blaak,2021,11890,0%,11719,171,13%,24%,63%,36%,52%,12%,5%,52%,42%,0%,0%,0%,1%,0%,0%
rotterdam-blaak,2022,17976,0%,17746,230,14%,24%,62%,36%,52%,12%,5%,52%,42%,0%,0%,0%,1%,0%,0%
rotterdam-centraal,2019,120670,93%,101732,18938,17%,22%,61%,23%,44%,27%,10%,48%,44%,0%,0%,2%,2%,0%,0%
rotterdam-centraal,2020,51780,0%,44029,7751,14%,21%,65%,23%,44%,27%,10%,48%,44%,0%,0%,2%,2%,0%,0%
rotterdam-centraal,2021,55553,0%,47421,8132,13%,20%,67%,23%,44%,27%,10%,48%,44%,0%,0%,2%,2%,0%,0%
rotterdam-centraal,2022,88983,0%,75951,13032,15%,20%,65%,23%,44%,27%,10%,48%,44%,0%,0%,2%,2%,0%,0%
rotterdam-lombardijen,2019,6768,56%,6768,0,21%,19%,60%,28%,53%,20%,7%,36%,29%,9%,2%,7%,9%,0%,0%
rotterdam-lombardijen,2020,3595,0%,3595,0,17%,21%,62%,28%,53%,20%,7%,36%,29%,9%,2%,7%,9%,0%,0%
rotterdam-lombardijen,2021,3982,0%,3982,0,17%,21%,62%,28%,53%,20%,7%,36%,29%,9%,2%,7%,9%,0%,0%
rotterdam-lombardijen,2022,4922,0%,4922,0,19%,19%,62%,28%,53%,20%,7%,36%,29%,9%,2%,7%,9%,0%,0%
rotterdam-noord,2019,2577,48%,2577,0,35%,13%,52%,53%,56%,29%,19%,12%,19%,4%,0%,2%,6%,0%,0%
rotterdam-noord,2020,1215,0%,1215,0,26%,14%,60%,53%,56%,29%,19%,12%,19%,4%,0%,2%,6%,0%,0%
rotterdam-noord,2021,1270,0%,1270,0,22%,15%,63%,53%,56%,29%,19%,12%,19%,4%,0%,2%,6%,0%,0%
rotterdam-noord,2022,1766,0%,1766,0,27%,14%,59%,53%,56%,29%,19%,12%,19%,4%,0%,2%,6%,0%,0%
rotterdam-zuid,2019,3658,42%,3658,0,15%,19%,66%,62%,74%,18%,6%,14%,19%,3%,0%,2%,1%,1%,0%
rotterdam-zuid,2020,1823,0%,1823,0,13%,20%,67%,62%,74%,18%,6%,14%,19%,3%,0%,2%,1%,1%,0%
rotterdam-zuid,2021,2155,0%,2155,0,13%,19%,68%,62%,74%,18%,6%,14%,19%,3%,0%,2%,1%,1%,0%
rotterdam-zuid,2022,2769,0%,2769,0,14%,18%,68%,62%,74%,18%,6%,14%,19%,3%,0%,2%,1%,1%,0%
sassenheim,2019,4942,75%,4942,0,37%,10%,53%,6%,17%,45%,19%,12%,21%,20%,10%,16%,33%,1%,0%
sassenheim,2020,2109,0%,2109,0,31%,12%,57%,6%,17%,45%,19%,12%,21%,20%,10%,16%,33%,1%,0%
sassenheim,2021,2328,0%,2328,0,28%,12%,60%,6%,17%,45%,19%,12%,21%,20%,10%,16%,33%,1%,0%
sassenheim,2022,3326,0%,3326,0,31%,11%,58%,6%,17%,45%,19%,12%,21%,20%,10%,16%,33%,1%,0%
schiedam-centrum,2019,24253,56%,24246,7,27%,17%,56%,13%,24%,18%,8%,57%,60%,6%,1%,6%,7%,0%,0%
schiedam-centrum,2020,11304,0%,11301,3,22%,18%,60%,13%,24%,18%,8%,57%,60%,6%,1%,6%,7%,0%,0%
schiedam-centrum,2021,12579,0%,12576,3,20%,17%,63%,13%,24%,18%,8%,57%,60%,6%,1%,6%,7%,0%,0%
schiedam-centrum,2022,11490,0%,11487,3,15%,11%,39%,9%,16%,12%,5%,37%,39%,4%,1%,4%,5%,0%,0%
voorburg,2019,2148,64%,2148,0,25%,22%,53%,27%,68%,54%,14%,10%,12%,6%,1%,3%,5%,0%,0%
voorburg,2020,791,0%,791,0,21%,21%,58%,27%,68%,54%,14%,10%,12%,6%,1%,3%,5%,0%,0%
voorburg,2021,702,0%,702,0,18%,20%,62%,27%,68%,54%,14%,10%,12%,6%,1%,3%,5%,0%,0%
voorburg,2022,1170,0%,1170,0,21%,21%,58%,27%,68%,54%,14%,10%,12%,6%,1%,3%,5%,0%,0%
voorhout,2019,3435,80%,3435,0,39%,8%,53%,34%,52%,40%,18%,4%,4%,16%,9%,6%,17%,0%,0%
voorhout,2020,1545,0%,1545,0,33%,9%,58%,34%,52%,40%,18%,4%,4%,16%,9%,6%,17%,0%,0%
voorhout,2021,1662,0%,1662,0,29%,11%,60%,34%,52%,40%,18%,4%,4%,16%,9%,6%,17%,0%,0%
voorhout,2022,2362,0%,2362,0,33%,9%,58%,34%,52%,40%,18%,4%,4%,16%,9%,6%,17%,0%,0%
voorschoten,2019,3639,70%,3639,0,36%,10%,54%,36%,45%,42%,25%,2%,2%,15%,6%,5%,22%,0%,0%
voorschoten,2020,1527,0%,1527,0,27%,16%,57%,36%,45%,42%,25%,2%,2%,15%,6%,5%,22%,0%,0%
voorschoten,2021,1492,0%,1492,0,21%,16%,63%,36%,45%,42%,25%,2%,2%,15%,6%,5%,22%,0%,0%
voorschoten,2022,2322,0%,2322,0,26%,14%,60%,36%,45%,42%,25%,2%,2%,15%,6%,5%,22%,0%,0%
waddinxveen,2019,1915,70%,1915,0,32%,9%,59%,40%,70%,49%,17%,1%,1%,8%,3%,2%,9%,0%,0%
waddinxveen,2020,952,0%,952,0,26%,11%,63%,40%,70%,49%,17%,1%,1%,8%,3%,2%,9%,0%,0%
waddinxveen,2021,1027,0%,1027,0,26%,12%,62%,40%,70%,49%,17%,1%,1%,8%,3%,2%,9%,0%,0%
waddinxveen,2022,1360,0%,1360,0,28%,10%,62%,40%,70%,49%,17%,1%,1%,8%,3%,2%,9%,0%,0%
waddinxveen-noord,2019,898,80%,898,0,33%,7%,60%,75%,86%,18%,7%,3%,0%,3%,1%,1%,6%,0%,0%
waddinxveen-noord,2020,469,0%,469,0,29%,8%,63%,75%,86%,18%,7%,3%,0%,3%,1%,1%,6%,0%,0%
waddinxveen-noord,2021,521,0%,521,0,28%,9%,63%,75%,86%,18%,7%,3%,0%,3%,1%,1%,6%,0%,0%
waddinxveen-noord,2022,678,0%,678,0,30%,8%,62%,75%,86%,18%,7%,3%,0%,3%,1%,1%,6%,0%,0%
waddinxveen-triangel,2019,695,82%,695,0,33%,16%,51%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
waddinxveen-triangel,2020,400,0%,400,0,27%,21%,52%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
