Station,Year,Reizigers per dag,Klantoordeel,In- en uitstappers,Overstappers,Ochtendspits,Avondspits,Daluren,Lopend_voor,Lopend_na,Fiets_voor,Fiets_na,Bus/tram/metro_voor,Bus/tram/metro_na,Auto (bestuurder)_voor,Auto (bestuurder)_na,Auto (passagier)_voor,Auto (passagier)_na,(Deel)taxi_voor,(Deel)taxi_na
hilversum-sportpark,2021,3484,0%,3431,53,11%,21%,68%,33%,76%,34%,7%,20%,10%,10%,2%,3%,5%,0%,0%
hilversum-sportpark,2022,5281,0%,5211,70,12%,24%,64%,33%,76%,34%,7%,20%,10%,10%,2%,3%,5%,0%,0%
hollandsche-rading,2019,1049,81%,1049,0,31%,11%,58%,32%,66%,24%,5%,0%,2%,35%,3%,9%,24%,0%,0%
hollandsche-rading,2020,488,0%,488,0,24%,15%,61%,32%,66%,24%,5%,0%,2%,35%,3%,9%,24%,0%,0%
hollandsche-rading,2021,529,0%,529,0,21%,15%,64%,32%,66%,24%,5%,0%,2%,35%,3%,9%,24%,0%,0%
hollandsche-rading,2022,745,0%,745,0,24%,13%,63%,32%,66%,24%,5%,0%,2%,35%,3%,9%,24%,0%,0%
hoofddorp,2019,19716,62%,19659,57,20%,27%,53%,9%,50%,36%,9%,48%,31%,2%,1%,5%,9%,0%,0%
hoofddorp,2020,7974,0%,7950,24,18%,24%,58%,9%,50%,36%,9%,48%,31%,2%,1%,5%,9%,0%,0%
hoofddorp,2021,7757,0%,7737,20,19%,21%,60%,9%,50%,36%,9%,48%,31%,2%,1%,5%,9%,0%,0%
hoofddorp,2022,12473,0%,12435,38,19%,22%,59%,9%,50%,36%,9%,48%,31%,2%,1%,5%,9%,0%,0%
hoogkarspel,2019,2236,76%,2236,0,37%,6%,57%,23%,37%,49%,20%,3%,4%,15%,6%,10%,33%,0%,0%
hoogkarspel,2020,1024,0%,1024,0,35%,6%,59%,23%,37%,49%,20%,3%,4%,15%,6%,10%,33%,0%,0%
hoogkarspel,2021,1071,0%,1071,0,35%,7%,58%,23%,37%,49%,20%,3%,4%,15%,6%,10%,33%,0%,0%
hoogkarspel,2022,1446,0%,1446,0,35%,7%,58%,23%,37%,49%,20%,3%,4%,15%,6%,10%,33%,0%,0%
hoorn,2019,15843,74%,14616,1227,25%,14%,61%,26%,57%,39%,15%,19%,16%,9%,3%,7%,9%,0%,0%
hoorn,2020,7954,0%,7374,580,22%,16%,62%,26%,57%,39%,15%,19%,16%,9%,3%,7%,9%,0%,0%
hoorn,2021,8248,0%,7659,589,22%,16%,62%,26%,57%,39%,15%,19%,16%,9%,3%,7%,9%,0%,0%
hoorn,2022,10920,0%,10033,887,23%,15%,62%,26%,57%,39%,15%,19%,16%,9%,3%,7%,9%,0%,0%
hoorn-kersenboogerd,2019,5221,49%,5161,60,36%,6%,58%,34%,53%,44%,22%,2%,5%,14%,5%,6%,15%,0%,0%
hoorn-kersenboogerd,2020,2587,0%,2552,35,32%,8%,60%,34%,53%,44%,22%,2%,5%,14%,5%,6%,15%,0%,0%
hoorn-kersenboogerd,2021,2488,0%,2450,38,30%,8%,62%,34%,53%,44%,22%,2%,5%,14%,5%,6%,15%,0%,0%
hoorn-kersenboogerd,2022,3435,0%,3386,49,32%,7%,61%,34%,53%,44%,22%,2%,5%,14%,5%,6%,15%,0%,0%
koog-aan-de-zaan,2019,3246,59%,3246,0,35%,8%,57%,46%,83%,40%,10%,0%,0%,12%,1%,2%,6%,0%,0%
koog-aan-de-zaan,2020,1563,0%,1563,0,31%,8%,61%,46%,83%,40%,10%,0%,0%,12%,1%,2%,6%,0%,0%
koog-aan-de-zaan,2021,1563,0%,1563,0,29%,9%,62%,46%,83%,40%,10%,0%,0%,12%,1%,2%,6%,0%,0%
koog-aan-de-zaan,2022,2234,0%,2234,0,31%,8%,61%,46%,83%,40%,10%,0%,0%,12%,1%,2%,6%,0%,0%
krommenie-assendelft,2019,5709,63%,5709,0,38%,7%,55%,33%,52%,47%,25%,3%,3%,12%,4%,5%,16%,0%,0%
krommenie-assendelft,2020,2772,0%,2772,0,31%,8%,61%,33%,52%,47%,25%,3%,3%,12%,4%,5%,16%,0%,0%
krommenie-assendelft,2021,2899,0%,2899,0,29%,9%,62%,33%,52%,47%,25%,3%,3%,12%,4%,5%,16%,0%,0%
krommenie-assendelft,2022,4024,0%,4024,0,31%,8%,61%,33%,52%,47%,25%,3%,3%,12%,4%,5%,16%,0%,0%
naarden-bussum,2019,9756,80%,9406,350,29%,14%,57%,29%,41%,47%,24%,12%,14%,5%,0%,7%,19%,0%,2%
naarden-bussum,2020,4634,0%,4480,154,22%,15%,63%,29%,41%,47%,24%,12%,14%,5%,0%,7%,19%,0%,2%
naarden-bussum,2021,5063,0%,4888,175,19%,16%,65%,29%,41%,47%,24%,12%,14%,5%,0%,7%,19%,0%,2%
naarden-bussum,2022,7187,0%,6936,251,22%,14%,64%,29%,41%,47%,24%,12%,14%,5%,0%,7%,19%,0%,2%
nieuw-vennep,2019,3769,64%,3769,0,37%,13%,50%,8%,22%,36%,25%,7%,16%,35%,6%,14%,31%,0%,0%
nieuw-vennep,2020,1680,0%,1680,0,29%,17%,54%,8%,22%,36%,25%,7%,16%,35%,6%,14%,31%,0%,0%
nieuw-vennep,2021,1795,0%,1795,0,25%,17%,58%,8%,22%,36%,25%,7%,16%,35%,6%,14%,31%,0%,0%
nieuw-vennep,2022,2544,0%,2544,0,29%,15%,56%,8%,22%,36%,25%,7%,16%,35%,6%,14%,31%,0%,0%
obdam,2019,1399,74%,1399,0,41%,6%,53%,24%,43%,41%,13%,7%,8%,17%,4%,11%,32%,0%,0%
